Slug,English,German,Spanish,French,Italian,Japanese
ba010_0,Pokétopia Gateway Colosseum – Rental Battle – Battle 1,,Desafío Préstamo en el Coliseo Pórtico de Pokétopia: 1er combate,,Lotta a Noleggio dell'Arena galleggiante di Pokétopia – Lotta 1,
ba015_0,Pokétopia Gateway Colosseum – Trade Battle – Battle 1,,Desafío Intercambio en el Coliseo Pórtico de Pokétopia: 1er combate,,Lotta a Baratto dell'Arena galleggiante di Pokétopia – Lotta 1,
ba020_0,Pokétopia Main Street Colosseum – Knockout Battle – Battle 1,,Desafío K.O. en el Coliseo Calle Mayor de Pokétopia: 1er combate,,Lotta KO dell'Arena Centrocittà di Pokétopia – Lotta 1,
ba030_0,Waterfall Colosseum – Team Battle – Battle 1,,Desafío Parejas en el Coliseo Cascada: 1er combate,,Lotta di Squadra dell'Arena Cascata – Lotta 1,
ba040_0,Neon Colosseum – Fortune Battle – Battle 1,,Desafío Aleatorio en el Coliseo Neon: 1er combate,,Lotta a Sorte dell'Arena Neon – Lotta 1,
ba040_1,,,,,,
ba050_0,Crystal Colosseum – Tournament Battle – First Match,,Desafío Torneo en el Coliseo Cristal: 1ª eliminatoria,,Lotta Torneo dell'Arena Cristallo – Incontro 1,
ba060_0,Sunny Park Colosseum – Knockout Battle – Battle 1,,Desafío K.O. en el Coliseo Vergel: 1er combate,,Lotta KO dell'Arena Parco – Lotta 1,
ba070_0,Sunny Park Colosseum – Little Battle – Battle 1,,Desafío Menor en el Coliseo Vergel: 1er combate,,Lotta Mini dell'Arena Cristallo – Lotta 1,
ba080_0,Magma Colosseum – League Battle – First Match,,Desafío Liguilla en el Coliseo Magma: 1ª eliminatoria,,Lotta Sfida dell'Arena Vulcano – Incontro 1,
ba090_0,Sunset Colosseum – Select Battle – Battle 1,,Desafío Selección en el Coliseo Ocaso: 1er combate,,Lotta a Scelta dell'Arena Tramonto – Lotta 1,
ba100_0,Courtyard Colosseum – Knockout Battle – Battle 1,,Desafío K.O. en el Coliseo Bastión: 1er combate,,Lotta KO dell'Arena Corte – Lotta 1,
ba110_0,,,,,,
ba120_0,Lagoon Colosseum – Tournament Battle – First Match,,Desafío Torneo en el Coliseo Atolón: 1er eliminatoria,,Lotta Torneo dell'Arena Atollo – Incontro 1,
